file,start_time,end_time,cosine_similarity,mean_absolute_error,pearson_correlation,top_k_agreement,top_1_agreement,model1_top1_species,model1_top1_prob,model2_top1_species,model2_top1_prob
Bald_Eagle_39338.mp3,0.0,3.0,0.1397387832403183,0.00024123460752889514,0.13868896663188934,0.4,0.0,Conocephalus brevipennis Short-winged Meadow Katydid (),0.398193359375,Power tools Power tools (),0.11376953125
Bald_Eagle_39338.mp3,3.0,5.010416666666667,0.7222450971603394,0.00011025027924915776,0.721610426902771,0.4,1.0,Haliaeetus leucocephalus Bald Eagle (),0.09735107421875,Haliaeetus leucocephalus Bald Eagle (),0.136474609375
Bald_Eagle_528485.mp3,0.0,3.0,0.12962542474269867,0.00019290739146526903,0.1288764774799347,0.2,0.0,Strix aluco Tawny Owl (),0.058441162109375,Siren Siren (),0.77197265625
Bald_Eagle_528485.mp3,3.0,6.0,0.2797435522079468,0.00021436813403852284,0.2792343497276306,0.4,0.0,Engine Engine (),0.036895751953125,Siren Siren (),0.5263671875
Bald_Eagle_528485.mp3,6.0,6.115333333333333,0.14403986930847168,0.00014308729441836476,0.11813760548830032,0.0,0.0,None,0.0,Dryophytes versicolor Gray Treefrog (),0.032135009765625
Bald_Eagle_751269.mp3,0.0,3.0,0.033793386071920395,0.00017904401465784758,0.031806573271751404,0.0,0.0,Schoenicola platyurus Broad-tailed Grassbird (),0.371337890625,None,0.0
Bald_Eagle_751269.mp3,3.0,6.0,0.009896994568407536,0.0001389315293636173,0.007506620138883591,0.0,0.0,Anthornis melanura New Zealand Bellbird (),0.0389404296875,Geokichla citrina Orange-headed Thrush (),0.11614990234375
Bald_Eagle_751269.mp3,6.0,8.428854166666667,0.036308303475379944,0.00010482122888788581,0.033293068408966064,0.0,0.0,Spinus lawrencei Lawrence's Goldfinch (),0.037384033203125,Geokichla citrina Orange-headed Thrush (),0.11883544921875
Barn_Owl_181134.mp3,0.0,3.0,0.05762340873479843,9.669455903349444e-05,0.05657278001308441,0.0,0.0,Scaphiopus couchii Couch's Spadefoot (),0.2440185546875,None,0.0
Barn_Owl_181134.mp3,3.0,6.0,0.09014654904603958,0.00014277335139922798,0.08837752044200897,0.2,0.0,Scaphiopus couchii Couch's Spadefoot (),0.340576171875,None,0.0
Barn_Owl_181134.mp3,6.0,6.9892916666666665,0.2630271911621094,9.959557792171836e-05,0.2571668028831482,0.2,0.0,None,0.0,None,0.0
Barn_Owl_583543.mp3,0.0,3.0,0.16709786653518677,9.611145651433617e-05,0.16653096675872803,0.2,0.0,Conocephalus brevipennis Short-winged Meadow Katydid (),0.15771484375,Siren Siren (),0.182373046875
Barn_Owl_583543.mp3,3.0,6.0,0.3674406409263611,0.00021329184528440237,0.36665260791778564,0.4,0.0,Gallinago gallinago Common Snipe (),0.043609619140625,Power tools Power tools (),0.51611328125
Barn_Owl_583543.mp3,6.0,9.0,0.22550001740455627,0.00016376479470636696,0.22429415583610535,0.6,0.0,Gallinago gallinago Common Snipe (),0.09649658203125,Siren Siren (),0.1910400390625
Barn_Owl_583543.mp3,9.0,9.05575,0.21413536369800568,0.0002135115209966898,0.19645746052265167,0.0,0.0,Siren Siren (),0.08636474609375,None,0.0
Barn_Owl_583544.mp3,0.0,1.4596458333333333,0.9261014461517334,0.00010424455831525847,0.9259620904922485,0.6,1.0,Power tools Power tools (),0.18701171875,Power tools Power tools (),0.08331298828125
Barn_Owl_805458.mp3,0.0,3.0,0.6880807876586914,7.67451201681979e-05,0.6873703002929688,0.8,0.0,None,0.0,Regulus regulus Goldcrest (),0.058441162109375
Barn_Owl_805458.mp3,3.0,6.0,0.2649857699871063,0.00010863610805245116,0.26338663697242737,0.2,0.0,Turdus merula Eurasian Blackbird (),0.155029296875,Engine Engine (),0.04296875
Barn_Owl_805458.mp3,6.0,7.0058125,0.33968842029571533,9.809659968595952e-05,0.3191032409667969,0.2,0.0,None,0.0,Power tools Power tools (),0.031585693359375
Barn_Owl_806907.mp3,0.0,3.0,0.41739657521247864,0.00020775620942004025,0.41384971141815186,0.2,0.0,Power tools Power tools (),0.060211181640625,Corvus monedula Eurasian Jackdaw (),0.127685546875
Barred_Owl_110988.mp3,0.0,3.0,0.3393286168575287,0.0002902875130530447,0.3388650417327881,0.6,0.0,Strix varia Barred Owl (),0.56591796875,Ninox boobook Southern Boobook (),0.57373046875
Barred_Owl_110988.mp3,3.0,6.0,0.9136453866958618,0.00020179979037493467,0.9136117100715637,0.2,1.0,Strix varia Barred Owl (),0.99658203125,Strix varia Barred Owl (),0.6962890625
Barred_Owl_110988.mp3,6.0,7.750020833333333,0.18227523565292358,9.708922152640298e-05,0.1767408847808838,0.2,0.0,Power tools Power tools (),0.09295654296875,None,0.0
